pos_x_m,pos_y_m,elevation
0.0,0.0,1379.419677734
718.441399255651,403.7834615735337,1390.082763672
718.8971800237196,416.58146317861974,1389.90625
688.8100933612441,404.5571749955416,1389.500244141
792.0105136155616,400.7886687768623,1391.776000977
720.1865876049851,449.4688609233126,1389.792480469
723.7357420621556,466.56748446822166,1389.713745117
718.9845332061523,418.7458139285445,1389.92590332
732.1196264725295,522.0267639551312,1389.525512695
730.2441993327811,526.763812747784,1389.505493164
729.8955786769511,490.52519263792783,1389.635498047
725.1753732738434,529.7661208752543,1389.479003906
695.3886302332394,530.7522813435644,1389.225341797
1470.9217413184815,1400.9971313234419,1405.888427734
1483.6402615476982,1400.642897005193,1406.312255859
1471.035992938967,1386.7946200100705,1405.723632812
1458.5335703456076,1401.1150687169284,1405.47644043
1470.7606708554085,1410.2812216486782,1405.813354492
1195.5359929678962,1405.1006828583777,1398.38684082
1195.6054882254684,1417.591508335434,1398.068481445
1116.3685815540375,1407.645458849147,1396.149902344
1260.509662700817,1403.4140322413296,1400.064208984
1116.6354971564142,1420.7672997899354,1395.931396484
1066.6163513613283,1408.9877817742527,1394.937255859
1033.3664273265167,1410.8940627481788,1394.001342773
951.3168096198351,1417.2212825324386,1391.921508789
1053.4156267737271,1409.3473764881492,1394.580078125
1033.7404985266621,1424.7699188729748,1394.047119141
950.9615422984352,1404.455602507107,1391.80456543
845.1800496863434,1425.401926460676,1389.664916992
951.6474608884309,1429.1544323079288,1391.718505859
844.4963977790903,1413.0946480929852,1389.483398438
744.8721687499201,1428.387119605206,1387.460083008
614.3644718094729,1432.2421421036124,1385.003662109
614.9717913711793,1447.8034881353378,1384.999023438
634.6722796441754,1431.6577966883779,1385.35534668
613.6500363434316,1414.1946301851422,1384.997314453
596.6150796902948,1432.5575990639627,1384.662963867
184.80919130559778,1440.3817626610398,1378.701416016
185.1116789188236,1450.9938521850854,1378.694702148
184.78210812818725,1427.3020072039217,1378.644897461
167.05440914502833,1440.998135005124,1378.408691406
201.4608809167985,1440.0537203997374,1378.582641602
572.4181973258965,-112.046520200558,1389.888061523
572.2155615714728,-116.6747429734096,1389.947998047
573.067618531466,-99.89440418127924,1389.790893555
792.8364555926528,55.79377914778888,1395.959472656
790.9225754684885,-10.953385565429926,1397.337036133
793.5751644442789,83.33455296698958,1395.43347168
576.0762180465972,-30.226480952464044,1389.40246582
1214.980020970921,39.691009365953505,1413.612792969
1216.0622922657058,67.67265059705824,1413.375854492
1214.613663085911,30.067755492404103,1413.678344727
-221.48195035365643,-419.77911687549204,1379.997070312
-242.21848406025674,-419.12165431678295,1379.852294922
-196.02270183584187,-420.5824837554246,1380.194091797
-655.1864797035814,-191.6002759700641,1376.40234375
-704.9410216847318,-190.2014400921762,1376.11340332
-560.9474778770236,-194.11209766287357,1376.785644531
-744.3110682509141,-840.2623602952808,1376.241088867
-743.8454063371173,-828.4194226488471,1376.324707031
-744.361099975009,-842.8156904252246,1376.241088867
-1178.4406330226338,-1422.5429871082306,1369.512695312
-1178.4448533391114,-1411.1839865408838,1369.553710938
-1225.6887487353524,-1420.8545878902078,1369.252929688
-1036.6444275867543,-1427.4180622259155,1370.16796875
-1173.6372899935814,-1216.7523143123835,1370.228515625
-1176.637132033531,-1204.664184785448,1370.287353516
-1173.4245810687426,-1223.0057315453887,1370.25390625
-277.9653445244767,279.6971330847591,1376.786010742
-279.0482243912993,236.9145220508799,1377.045532227
-276.2117162080249,348.5999166527763,1376.307861328
-914.213654504274,375.27495139464736,1369.219604492
-912.0456606086809,441.71974724531174,1368.644042969
-918.0255748588243,257.6032502548769,1369.377685547
-622.6368087647716,233.81401871796697,1373.133911133
-657.6099481023848,235.23417999781668,1372.526245117
-507.847255859524,231.10123441182077,1374.650390625
-402.6367570448201,13.329927611164749,1376.967529297
-405.6298109664931,13.425812477245927,1376.907592773
-379.6069586035446,12.582936650142074,1377.153808594
-317.1015649207402,1363.5339224925265,1372.184082031
-308.91811006644275,1367.0848580645397,1372.182983398
-313.29826062516076,1353.658982226625,1372.221313477
-321.0925875219982,1369.5133366230875,1372.149780273
-288.1251497276826,1376.142181871459,1372.517089844
-909.8889348009252,566.9693379327655,1368.847412109
-909.7646051914198,559.3288347590715,1368.704101562
-1053.5271839105408,570.783923316747,1367.502197266
-835.1640469220001,564.9901225566864,1369.403442383
-910.9478681323235,534.6016632923856,1369.066162109
-835.3593431134359,557.8191184774041,1369.293945312
-709.0552551724832,562.0849044006318,1370.406494141
-836.0696904142387,532.9540441986173,1369.567871094
-1176.4517693606322,-1009.9758087759838,1370.543212891
-1211.1281520081102,-1009.0556725468487,1370.015258789
-1162.5396515530301,-1010.3464475665241,1370.701904297
-531.5489013915649,-1228.7972890632227,1373.463256836
-534.010820109339,-1228.7731838282198,1373.463256836
-488.4367264607572,-1229.6967263733968,1373.599487305
-279.40885083557805,222.9719515601173,1377.067382812
-267.58828959742095,222.4235493633896,1377.100341797
-279.8074798876187,209.39617025200278,1377.046875
-294.5892390779918,223.51986194681376,1376.966308594
-157.54366006236523,217.5197739629075,1377.809936523
-81.57584535807837,215.55860884394497,1378.269287109
-389.97566287836526,638.0490459213033,1373.438842773
-265.68960327876266,631.7162220971659,1374.857910156
-489.8729381916346,639.9369393093511,1372.209838867
-537.8221927803825,1465.6593291675672,1370.397338867
-537.9932705878746,1454.9904405800626,1370.406494141
-525.5116386929294,1465.2611027164385,1370.465820312
-583.3140603217762,1467.2822893941775,1369.878540039
-540.4460222993512,1285.3180939899758,1369.638793945
-535.9305739812553,1432.1412130594254,1370.286743164
-601.176882595697,1287.3347811968997,1369.315185547
-155.37327587144682,-1239.1882105562836,1375.201782227
-195.10911472828593,-1238.36809463799,1374.943847656
-127.72905778500717,-1239.7127518113703,1375.307983398
-48.109161930391565,-1456.2402488635853,1375.227294922
-100.34067678061547,-1454.599658220075,1374.89453125
76.81910117174266,-1460.163079478778,1376.356933594
1004.2578822551877,46.925369987264276,1404.108276367
1005.0878589423373,71.05648991744965,1403.40637207
1002.0500755736139,-17.72042514011264,1408.051025391
1008.4545830076095,165.5263770604506,1401.952026367
1110.4335462318268,179.7619571061805,1405.689453125
1084.9103962422814,180.6168509889394,1404.718383789
1129.3888362266007,179.12541141919792,1406.415893555
784.4012308926322,-532.057110148482,1386.505126953
755.9480118729989,-545.8962176153436,1386.252685547
873.6864187080646,-490.48796811141074,1386.827758789
-962.6885377015569,-1100.047512804158,1372.449829102
-961.3430678687873,-1049.5950184548274,1373.767700195
-963.7656780158868,-1129.1726808119565,1371.903930664
-755.4301268091076,-1123.760520260781,1373.521118164
-754.9536176866386,-1111.66231240239,1374.212402344
-757.676672687754,-1180.5665079811588,1372.778076172
-765.1986792454845,-1371.340690433979,1372.844238281
-764.2421270397026,-1350.175591500476,1372.72644043
-766.9338380299159,-1423.4992869123816,1372.837524414
-693.7548781102523,-1438.4858487695456,1372.012573242
-628.4862352694036,-1439.8810790190473,1372.109008789
-762.710992277076,-1434.799780068919,1372.759399414
-1075.399740626628,311.18654978461564,1367.686035156
-1072.0792086198926,384.7151497229934,1367.862060547
-1078.5600940303411,246.3060837490484,1367.477050781
953.6679738597013,1034.6813922887668,1392.383666992
846.9129957676632,1038.8261192720383,1390.04284668
1025.2785076501314,1031.8964006211609,1394.218261719
1243.5895082273637,876.73485323973,1402.870727539
1244.5316512180725,897.0231191013008,1402.692138672
1242.0745132539887,825.1956083690748,1403.317504883
-272.27628100360744,526.0188992321491,1375.569091797
-273.4476123598288,475.8754622209817,1375.755371094
-270.4460245127557,575.5119011634961,1375.30456543
-273.9990364488913,439.82752335909754,1375.852661133
-490.9790915445192,335.8427313938737,1373.94152832
-490.81055527785793,342.01467423234135,1373.888793945
-492.1023255995242,295.0147466957569,1374.303100586
-142.8566705355188,4.954323572106659,1378.83203125
-187.47034468885977,6.332828836515546,1378.653198242
-88.0171853491338,3.1989734089002013,1379.138061523
-211.05815986730158,-204.5493441382423,1379.410888672
-245.25739909731783,-203.71617781277746,1379.265869141
-153.1861195648671,-205.93499495647848,1379.656494141
34.999810955428984,213.48116410337389,1378.672241211
29.112791289924644,213.5827812217176,1378.697631836
67.61287464672932,213.08663300890476,1378.979492188
1480.5282650673762,167.40391003806144,1417.119995117
1443.0576977769379,168.60437950957566,1416.172851562
-1128.2787843061378,-176.66093822941184,1367.94909668
-1147.4999646978686,-175.9047680189833,1367.685791016
-1120.9690604450298,-176.74424129910767,1368.049072266
-596.9414517295081,902.7089027315378,1370.408447266
-596.5679021305405,911.1217666845769,1370.346801758
-252.08972033316968,892.8286206629127,1373.622680664
-688.7697625069413,897.7362292623147,1369.55078125
-586.1180981461657,993.0859914133325,1370.639282227
-573.9336403133348,999.2511631604284,1370.689453125
-593.7212536955485,981.7793594226241,1370.596191406
1439.525259386457,-67.93346353527158,1395.026733398
1436.195946550928,-54.23334661964327,1396.282836914
1479.318585779285,-55.898431124165654,1395.014160156
1423.9445791084436,-76.16828180849552,1394.734375
1440.0246874642908,-74.87791263964027,1394.739135742
-1492.9635301178787,152.8083150535822,1362.263183594
-1492.5927586101461,162.50919337198138,1362.420776367
-1430.6969350181753,151.2131808316335,1362.349487305
-66.26054756616941,215.19859883654863,1378.366821289
-53.447059023194015,214.98509985487908,1378.337524414
-65.75519040063955,229.52838736958802,1378.300170898
-66.73501416313229,202.33418093342334,1378.366333008
-493.86237943021115,230.7644398715347,1374.822021484
-493.4829641090473,243.18563413899392,1374.682495117
-495.74984309793217,161.99622919596732,1375.312133789
-368.4875304813613,226.19590172171593,1376.091308594
-706.9706878645229,236.62923202011734,1371.739257812
-719.6741874366417,237.03158285841346,1371.583496094
-706.0966149639571,253.653555566445,1371.540527344
-707.3205618496868,223.01966683007777,1371.922485352
-693.3023605583585,236.2396379960701,1372.003417969
-918.5072551600751,243.3176648877561,1369.327514648
-922.5954841818893,117.86508919019252,1369.922119141
-931.7943617230048,243.5706907082349,1369.162597656
-1067.7923953419086,246.0998600013554,1367.502807617
-1082.7965370871825,153.29972191527486,1367.090942383
752.7083110427484,1356.1385876908898,1387.209960938
739.4731670785695,1361.5734181376174,1386.976196289
613.369780623645,1363.5539693674073,1384.983642578
625.3761131537613,1363.4937675967813,1384.955200195
613.4023082790081,1333.2853382369503,1384.883178711
181.35130322753685,1227.8927981052548,1378.904174805
181.58392485423246,1234.7303455043584,1378.859985352
181.24045115930494,1218.1782432720065,1378.934448242
164.47484533971874,1228.2452640170231,1378.803222656
73.49780529062264,1231.6378551227972,1377.170532227
67.04380512656644,1042.329005018808,1377.447143555
77.5621285114903,1370.9816403184086,1377.039794922
