pos_x_m,pos_y_m,elevation
0.0,0.0,9.799201965
-1156.0755263388855,3756.7647360144183,25.6973629
-1122.3140415539965,3757.0709999362007,26.310203552
-569.6584440502338,3534.2812921917066,30.534770966
-557.1492848704802,3487.1921131070703,29.937885284
-3872.964856674429,-3088.4776621265337,3.285835981
-3865.624222122715,-3091.5032209763303,3.197882414
-3860.115640776232,-3095.466560716741,3.232722282
-3854.6528092985973,-3100.87540599145,3.246866941
-3850.5485615833895,-3105.9872866580263,3.453606367
-3847.3692474175477,-3111.2350021898746,3.43662262
-3845.36793479044,-3116.625322171487,3.333072186
-3843.9998925364343,-3123.5879638763145,3.294191599
-3843.6797463909024,-3129.2454455243424,3.214191675
-3834.696923244861,-3140.9594294000417,3.261111736
-3847.397471270873,-3144.898724710569,3.357230425
-3798.5181133417645,-3148.1463278699666,3.019999981
-3851.2802699548192,-3151.224108353257,3.242928982
-3855.4517724888865,-3156.2240239186212,3.20639658
-3860.6444583338453,-3160.9179500145838,3.219694138
-3865.2941627348773,-3163.8197691934183,3.177836657
-3871.212178477086,-3166.644403464161,3.214802742
-3880.594730159384,-3169.3394794818014,3.360589266
-3886.080835716217,-3169.3750802148134,3.194853783
-3891.925144756562,-3168.6425629369915,3.194853783
-3461.249457079568,-929.3473396915942,11.169430733
-3461.974998881924,-914.8793946197256,11.293324471
-3459.727121863165,-960.6255219671875,10.979475975
-3454.294653287274,-1072.257242021151,9.586620331
-3450.739352013683,-1145.0432904157788,9.257453918
-2698.471197406412,1083.7700305609033,18.51684761
-2707.8932779176394,1063.6514112791047,18.026424408
-3478.2916280544596,-1782.6048754518852,8.612384796
-3477.49285607785,-1779.0282783238217,8.612384796
-3508.3432720022975,-1906.8085904344916,8.232305527
-159.92099152703304,3316.9050206029788,28.996364594
-160.6018236099044,3314.9643403999507,29.016365051
-162.53835402056575,3320.3999957526103,29.060224533
-153.55786365375388,3321.722869472578,29.012985229
-148.7027124952292,3322.7664702879265,28.892986298
-143.78942422789987,3321.9895609943196,28.84195137
-139.48747129680123,3319.50718758069,28.840164185
-136.37907244078815,3315.63676364813,28.838769913
-134.8920700988965,3310.911014436744,28.818771362
-135.21261515666265,3305.969258144498,28.69984436
-137.2995966973249,3301.4681295109913,28.794778824
-140.88342732028104,3298.037171221338,28.733064651
-145.46992338821292,3296.1120714535937,28.63306427
-150.442658036598,3295.97630974371,28.612661362
-155.12705559411552,3297.6371923349798,28.672662735
-158.89274666202255,3300.867499312386,28.772274017
2538.8008579801535,803.6919830767438,5.508287907
2717.005055316142,754.956130345352,4.561320782
2533.506405183114,805.0566669330001,5.548287868
2608.7278541497653,926.5418356209993,5.153216839
2609.980440538726,926.098719409667,5.193216801
3157.3228174538817,728.008806515485,1.726791501
3250.864159359946,696.426624564454,0.526307762
3090.720597958076,754.861221799627,2.301594734
3002.372886945028,1015.6569771599025,3.049391031
3020.452089637867,1009.6582200508565,2.956009865
2927.600882417639,1047.8840576652437,3.80685091
2628.0548483151942,1374.7999016977847,4.579519749
2632.7064953714143,1386.594698051922,3.984635592
2626.34639071743,1360.308868584223,5.045865059
-2964.5571670184145,-1025.3337159026414,11.376160622
-2864.179987763171,-1017.501790127717,11.228023529
-2959.3103622096824,-1098.074363572523,10.89212513
-2969.1628791306866,-954.4645299613476,11.823594093
-477.31523547845427,-2512.128348614089,1.117107749
-471.61831435223576,-2474.5541253210977,0.903445184
-2871.3854738550726,-1169.1251957705244,10.185808182
-2955.6109318578383,-1171.6454131845385,10.523509026
-2861.0563693050062,-1095.0435152165592,10.890000343
-2888.6453324689064,-1092.508043769747,10.819412231
-2867.81193847768,-946.1620138762519,11.817728043
-2929.825881547644,-950.1405945122242,11.806793213
-2470.307774022571,-818.0931168003008,9.771784782
-2460.711614646367,-950.8886253591627,11.17903614
-2480.4840491252253,-655.6271192040294,12.153850555
-2447.623608571361,-815.2708091279492,9.557812691
-1554.9182484582998,-2266.858540367335,4.992725372
-1544.5346326492727,-2310.5736153535545,4.590457439
-1565.8256439601537,-2219.380187519826,5.604637623
-1727.5803303862922,-2477.399486584589,3.795064688
-1740.9724925967166,-2483.4721590597183,3.688914061
-1717.0564695813227,-2472.6375668616965,3.900135756
2635.8668227858143,1903.658515078947,5.784834385
2742.068367914646,1980.3719873381779,6.649306297
2632.4969057166018,1901.3542720386758,5.77309227
2801.120248906547,2014.005457679741,6.652300835
-3104.75117007643,3327.9919380303472,28.560947418
-3114.103254089947,3304.7313733510673,28.069726944
-1600.5766628518468,-2419.9693533787504,4.853661537
-1526.5226924724411,-2386.634880903177,5.290000439
-2318.9886145757046,-2194.505733610131,5.058969021
-2276.277788814623,-2182.021865274757,5.484196663
-2376.414711607271,-2005.5163776334375,5.505723
-2306.6626266468083,-2232.1697970451787,4.31585741
-2260.968338893377,-2176.942790949717,5.67243576
-2255.572723235702,-2173.5753625184298,5.682002544
-2253.742176068481,-2171.970586278476,5.742002487
-2250.87283314846,-2169.4489890430123,5.825252533
-2247.513488304685,-2165.6920686280355,5.865252495
