pos_x_m,pos_y_m,elevation
0.0,0.0,46.091320038
-11.365614493610337,380.1426588203758,76.240592957
-85.13412224268541,333.3134676553309,66.863456726
-7.074242077767849,382.8138999985531,76.406158447
-189.40651516010985,487.29631587304175,59.857307434
-199.401237664395,480.95275041181594,59.54158783
178.9141086593736,-21.113654718734324,69.188240051
159.83126321341842,10.641948822885752,70.282028198
108.69837093562819,98.59312242921442,61.911922455
77.77442604699172,154.998613120988,62.717468262
229.1471785485046,-193.07604044862092,55.547725677
232.56164765369613,-200.19307297375053,54.911777496
-139.61609506595414,410.30111681390554,65.825485229
-131.2937532152282,415.34107417985797,66.03440094
-144.27816756966058,417.4965251348913,65.5234375
406.91091217380017,93.80354614648968,100.598632812
397.8219303153455,87.8892071377486,100.519439697
411.9032221486559,85.91122554335743,100.505134583
401.77299852855504,102.01692559570074,100.468261719
415.0673132268712,98.90952278114855,100.4896698
357.8430975484662,172.13423746358603,97.419677734
350.3608877786901,167.30095693375915,97.032142639
352.09619112533983,181.24264056421816,97.342971802
363.3536333873635,163.4127929015085,97.543495178
367.41263401927426,178.09715836588293,97.631088257
307.79639781231526,250.81248510070145,96.108032227
302.53627823654097,259.2805225132033,96.051010132
312.0941368606873,244.10330270044506,96.131851196
314.3600480502937,254.94861949887127,96.045814514
300.14947590755764,245.91114760003984,95.80884552
258.17248841316905,330.295074114576,94.968963623
264.75882316136267,334.4091219669208,94.995422363
248.91009389061946,324.468371684663,94.492164612
253.64524257858284,337.4802288832143,94.905143738
262.43311287416145,323.5188461281359,94.99495697
208.08026953274384,409.32942590955645,91.472511292
203.48338027158752,416.7585351075977,91.2552948
213.0330217385199,401.6033151689917,91.719818115
215.36898848600686,413.9163282625377,91.774627686
199.74384791892953,404.21105545945466,91.088523865
159.0021886159666,487.71722907200456,86.736701965
164.9315777804004,478.2990147555247,86.994369507
149.2549902179744,481.47523759678006,86.006149292
167.19610974250827,492.789849113673,87.492645264
151.82346724683885,499.05855638626963,86.48865509
-449.87527611781843,-259.76113371830434,4.657433033
-449.08490538643673,-251.10723821353167,4.807052612
-398.2332975853933,-259.5520247146487,6.219991684
